event_id,ticker,ex_date,offset,cum_ret,mkt_ret,abnormal
8476_2022-12-22,8476,2022-12-22,-13,-0.02177858439201452,0.06049661399548545,-0.08227519838749997
8476_2022-12-22,8476,2022-12-22,-12,-0.05444646098003625,0.04108352144469518,-0.09552998242473143
8476_2022-12-22,8476,2022-12-22,-11,-0.038112522686025385,0.034762979683972794,-0.07287550236999818
8476_2022-12-22,8476,2022-12-22,-10,0.010889292196007316,0.02257336343115135,-0.011684071235144033
8476_2022-12-22,8476,2022-12-22,-9,-0.030852994555353952,0.038374717832957206,-0.06922771238831116
8476_2022-12-22,8476,2022-12-22,-8,-0.01814882032667875,0.02844243792325063,-0.04659125824992938
8476_2022-12-22,8476,2022-12-22,-7,-0.012704174228675202,0.02392776523702045,-0.03663193946569565
8476_2022-12-22,8476,2022-12-22,-6,-0.03266787658802184,0.036568848758465,-0.06923672534648684
8476_2022-12-22,8476,2022-12-22,-5,-0.0362976406533575,0.037471783295711214,-0.07376942394906871
8476_2022-12-22,8476,2022-12-22,-4,-0.02177858439201452,0.020316027088036037,-0.04209461148005056
8476_2022-12-22,8476,2022-12-22,-3,-0.016333938294010864,0.014446952595936757,-0.03078089088994762
8476_2022-12-22,8476,2022-12-22,-2,-0.03266787658802184,-0.004063205417607296,-0.028604671170414542
8476_2022-12-22,8476,2022-12-22,-1,0.0,0.0,0.0
8476_2022-12-22,8476,2022-12-22,0,-0.007259528130671433,0.016704288939051848,-0.02396381706972328
8476_2022-12-22,8476,2022-12-22,1,0.001814882032667997,-0.0004514672686229959,0.002266349301290993
8476_2022-12-22,8476,2022-12-22,2,-0.001814882032667886,0.0031602708803610824,-0.0049751529130289684
8476_2022-12-22,8476,2022-12-22,3,0.003629764065335772,0.0076749435665912635,-0.004045179501255491
8476_2022-12-22,8476,2022-12-22,4,-0.001814882032667886,-0.006772009029345383,0.004957126996677497
8476_2022-12-22,8476,2022-12-22,5,0.003629764065335772,-0.011286681715575675,0.014916445780911447
8476_2022-12-22,8476,2022-12-22,6,0.06352087114337568,-0.004966139954853288,0.06848701109822897
8476_2022-12-22,8476,2022-12-22,7,0.10707803992740472,0.0,0.10707803992740472
8476_2022-12-22,8476,2022-12-22,8,0.0980036297640654,-0.0022573363431150906,0.1002609661071805
8476_2022-12-22,8476,2022-12-22,9,0.09437386569872941,0.004966139954853288,0.08940772574387612
8476_2022-12-22,8476,2022-12-22,10,0.09437386569872941,0.00948081264108347,0.08489305305764594
8476_2022-12-22,8476,2022-12-22,11,0.09074410163339386,0.045598194130925584,0.045145907502468274
8476_2022-12-22,8476,2022-12-22,12,0.06715063520871145,0.04966139954853266,0.017489235660178792
8476_2022-12-22,8476,2022-12-22,13,0.07622504537205077,0.05056433408577865,0.02566071128627212
