anchor,year,horizon,n,mean_ret,win_rate
公告日,2019,-20,72,-0.008978238488143902,0.375
公告日,2019,-2,72,-0.0003900087502924797,0.4444444444444444
公告日,2019,-3,72,-0.0048624935045193125,0.375
公告日,2019,-4,72,-0.004354752109192377,0.4722222222222222
公告日,2019,-5,72,-0.006506739912130345,0.4861111111111111
公告日,2019,-6,72,-0.007411491052864913,0.4305555555555556
公告日,2019,-7,72,-0.006213689909397951,0.4444444444444444
公告日,2019,-8,72,-0.007272889254601079,0.3888888888888889
公告日,2019,-9,72,-0.007512120031327948,0.4305555555555556
公告日,2020,0,88,0.00019211982137258175,0.48863636363636365
公告日,2020,10,88,-0.0014818292452704921,0.32954545454545453
公告日,2020,1,88,-0.006564051650289673,0.42045454545454547
公告日,2020,20,88,-0.004555964908396142,0.4090909090909091
公告日,2020,2,88,-0.004923140360681023,0.4318181818181818
公告日,2020,30,88,-0.003163277061605266,0.36363636363636365
公告日,2020,3,88,0.000256582626372044,0.5
公告日,2020,4,88,0.005912845489229959,0.5568181818181818
公告日,2020,5,88,0.0006676364068158492,0.4318181818181818
公告日,2020,60,88,0.07717978323363926,0.5
公告日,2020,6,88,-0.0029999647262792138,0.375
公告日,2020,7,88,-0.005376649047138387,0.36363636363636365
公告日,2020,8,88,-0.012041933676848672,0.3181818181818182
公告日,2020,9,88,-0.007546315432159439,0.32954545454545453
公告日,2020,-10,88,-0.011640141610216275,0.38636363636363635
公告日,2020,-1,88,0.0,0.0
公告日,2020,-20,88,-0.022794749426038322,0.4431818181818182
公告日,2020,-2,88,0.0005359877879198863,0.4659090909090909
公告日,2020,-3,88,0.0003534494035050154,0.48863636363636365
公告日,2020,-4,88,-0.0015856985287813952,0.375
公告日,2020,-5,88,-0.006537434335329226,0.36363636363636365
公告日,2020,-6,88,-0.00459017005729291,0.3977272727272727
公告日,2020,-7,88,-0.0021383926770336984,0.4090909090909091
公告日,2020,-8,88,-0.0035790029321409937,0.3977272727272727
公告日,2020,-9,88,-0.005530395664479325,0.36363636363636365
公告日,2021,0,109,0.004488388106702634,0.48623853211009177
公告日,2021,10,109,-0.016748114256256826,0.29357798165137616
公告日,2021,1,109,0.009414500399452333,0.4954128440366973
公告日,2021,20,109,-0.03523922129205026,0.30275229357798167
公告日,2021,2,109,0.01210881999445218,0.4954128440366973
公告日,2021,30,109,-0.039832856010185234,0.30275229357798167
公告日,2021,3,109,0.01748795384567714,0.5137614678899083
公告日,2021,4,109,0.013341662073748244,0.46788990825688076
公告日,2021,5,109,-0.0026309823092303996,0.3761467889908257
公告日,2021,60,109,-0.006028080189893302,0.41284403669724773
公告日,2021,6,109,-0.004649471815999584,0.3394495412844037
公告日,2021,7,109,-0.01127819879484488,0.30275229357798167
公告日,2021,8,109,-0.012304126935909283,0.29357798165137616
公告日,2021,9,109,-0.015022021135234627,0.28440366972477066
公告日,2021,-10,109,-0.009001403028626261,0.41284403669724773
公告日,2021,-1,109,0.0,0.0
公告日,2021,-20,109,-0.027657382404638164,0.3486238532110092
公告日,2021,-2,109,-0.002874768604902015,0.4954128440366973
公告日,2021,-3,109,-0.00788190020558527,0.44954128440366975
公告日,2021,-4,109,-0.009947343316536133,0.43119266055045874
公告日,2021,-5,109,-0.00926146746442624,0.3944954128440367
公告日,2021,-6,109,-0.013283939745126384,0.3669724770642202
公告日,2021,-7,109,-0.012389020912172482,0.3669724770642202
公告日,2021,-8,109,-0.010699568736331148,0.3944954128440367
公告日,2021,-9,109,-0.008495652383239719,0.3853211009174312
公告日,2022,0,126,0.00036798636636064115,0.47619047619047616
公告日,2022,10,126,-0.03359449046355617,0.31746031746031744
公告日,2022,1,126,-0.00346898896841468,0.47619047619047616
公告日,2022,20,126,-0.04193487953049749,0.30952380952380953
公告日,2022,2,126,-0.007452848239108817,0.42063492063492064
公告日,2022,30,126,-0.040876340881123296,0.29365079365079366
公告日,2022,3,126,-0.005053835545728778,0.4603174603174603
公告日,2022,4,126,-0.012238622788836993,0.4523809523809524
公告日,2022,5,126,-0.02541800901033382,0.3412698412698413
公告日,2022,60,126,-0.026913326622041066,0.36507936507936506
公告日,2022,6,126,-0.025567547874548485,0.3333333333333333
公告日,2022,7,126,-0.028249333698364392,0.3492063492063492
公告日,2022,8,126,-0.02879799734296408,0.3492063492063492
公告日,2022,9,126,-0.028481705841258045,0.3333333333333333
公告日,2022,-10,126,0.007065874372024856,0.5396825396825397
公告日,2022,-1,126,0.0,0.0
公告日,2022,-20,126,-0.0009059405238565852,0.4523809523809524
公告日,2022,-2,126,-0.0012756494997370987,0.42857142857142855
公告日,2022,-3,126,-0.002609239488358318,0.4603174603174603
公告日,2022,-4,126,-0.0014494261650790858,0.47619047619047616
公告日,2022,-5,126,-0.003178993127659302,0.46825396825396826
公告日,2022,-6,126,-0.002914500314743582,0.46825396825396826
公告日,2022,-7,126,-0.0010520522520511921,0.5158730158730159
公告日,2022,-8,126,0.0023974422648308045,0.5238095238095238
公告日,2022,-9,126,0.004508040628617697,0.5396825396825397
公告日,2023,0,224,0.002871368912724953,0.4642857142857143
公告日,2023,10,224,0.0025469439173064945,0.42857142857142855
公告日,2023,1,224,0.0017349131096421884,0.45535714285714285
公告日,2023,20,224,-0.006640837495028695,0.3392857142857143
公告日,2023,2,224,0.003276291479457403,0.47767857142857145
公告日,2023,30,224,-0.0050468972656801765,0.36607142857142855
公告日,2023,3,224,0.005384000841252376,0.48214285714285715
公告日,2023,4,224,0.014792352132466043,0.4955357142857143
公告日,2023,5,224,0.007693236785573145,0.4419642857142857
公告日,2023,60,224,0.016661860612581156,0.39732142857142855
公告日,2023,6,224,0.0073136170860813735,0.45089285714285715
公告日,2023,7,224,0.005360072231538752,0.4330357142857143
公告日,2023,8,224,0.0029449433368611924,0.42857142857142855
公告日,2023,9,224,0.006043290399193629,0.45535714285714285
公告日,2023,-10,224,-0.017124718939354668,0.4107142857142857
公告日,2023,-1,224,0.0,0.0
公告日,2023,-20,224,-0.01621744563794018,0.48214285714285715
公告日,2023,-2,224,-0.0004949344487047112,0.45535714285714285
公告日,2023,-3,224,-0.0002617313235256454,0.49107142857142855
公告日,2023,-4,224,-0.005632192756757076,0.42857142857142855
公告日,2023,-5,224,-0.007125402205678195,0.4107142857142857
公告日,2023,-6,224,-0.01038000513336019,0.4419642857142857
公告日,2023,-7,224,-0.011094349379714112,0.4419642857142857
公告日,2023,-8,224,-0.012352716331252015,0.41964285714285715
公告日,2023,-9,224,-0.013759984570279092,0.40625
公告日,2024,0,231,0.00340642180948117,0.4805194805194805
公告日,2024,10,231,-0.005009373883471716,0.41125541125541126
公告日,2024,1,231,0.007325692342229951,0.5108225108225108
公告日,2024,20,231,-0.02442336412691705,0.2943722943722944
公告日,2024,2,231,0.006486172665747542,0.49783549783549785
公告日,2024,30,231,-0.029255296768415356,0.3246753246753247
公告日,2024,3,231,0.005922969273154751,0.5238095238095238
公告日,2024,4,231,0.010093852120737929,0.5324675324675324
公告日,2024,5,231,0.00203173409152544,0.45454545454545453
公告日,2024,60,231,-0.02776697501259951,0.2987012987012987
公告日,2024,6,231,-0.00019191001692985798,0.44155844155844154
公告日,2024,7,231,-0.0009987668328785366,0.44155844155844154
公告日,2024,8,231,-0.0021919938978813497,0.41125541125541126
公告日,2024,9,231,-0.00265980835358041,0.4155844155844156
公告日,2024,-10,231,-0.014644201549683282,0.44155844155844154
公告日,2024,-1,231,0.0,0.0
公告日,2024,-20,231,-0.011467308411756123,0.5021645021645021
公告日,2024,-2,231,0.0014476632040602675,0.48917748917748916
公告日,2024,-3,231,-0.0035265531020271354,0.4329004329004329
公告日,2024,-4,231,-0.005051812825183585,0.43722943722943725
公告日,2024,-5,231,-0.004620674785750781,0.46320346320346323
公告日,2024,-6,231,-0.006265880068271478,0.4199134199134199
公告日,2024,-7,231,-0.009525089691195527,0.42857142857142855
公告日,2024,-8,231,-0.01287746848168986,0.4199134199134199
公告日,2024,-9,231,-0.014492218193873183,0.43722943722943725
公告日,2025,0,191,-0.0005949997762358479,0.42408376963350786
公告日,2025,10,191,-0.004363662110547815,0.387434554973822
公告日,2025,1,191,0.00034745662877130456,0.38219895287958117
公告日,2025,20,191,-0.031750345214037655,0.32460732984293195
公告日,2025,2,191,0.003390001432451145,0.4816753926701571
公告日,2025,30,191,-0.048401695275642975,0.33507853403141363
公告日,2025,3,191,0.006296073289706291,0.518324607329843
公告日,2025,4,191,0.011331648333456922,0.5445026178010471
公告日,2025,5,191,0.0028439300554837844,0.518324607329843
公告日,2025,60,191,-0.01486457278278294,0.3717277486910995
公告日,2025,6,191,-0.002018185519334751,0.45549738219895286
公告日,2025,7,191,-0.003482204168936807,0.44502617801047123
公告日,2025,8,191,-0.00630785978527688,0.4031413612565445
公告日,2025,9,191,-0.0030042627675594016,0.41361256544502617
公告日,2025,-10,191,-0.02233268321542593,0.3717277486910995
公告日,2025,-1,191,0.0,0.0
