代號,名稱,規模,年份,起始日,出關日,條款,前日漲幅(%),D1跳空(%),符合因子,加強訊號,D1%,D3%,D5%,D8%,策略報酬(%)
3229,晟鈦,小,2026,2026-04-21,2026-05-06,連續3日,9.93,9.93,,,9.93,14.22,12.30,18.67,14.74
6173,信昌電,中,2026,2026-04-21,2026-05-06,連續3日,-1.63,-1.54,,,-1.43,-8.71,-14.66,-5.51,12.62
6208,日揚,小,2026,2026-04-21,2026-05-06,連續3日,-0.67,0.00,,,0.67,18.93,12.08,7.38,-0.09
6456,GIS-KY,中,2026,2026-04-21,2026-05-06,連續3日,7.99,0.00,✅,⭐,-4.65,-9.43,-13.25,-9.07,-9.12
6791,虎門科技,小,2026,2026-04-21,2026-05-06,連續3日,2.22,2.90,✅,,-1.09,-3.99,-15.94,-10.14,-14.28
8438,昶昕,小,2026,2026-04-21,2026-05-06,10日6次,0.11,-1.02,,,0.23,-4.98,-3.85,-0.11,0.55
2923,鼎固-KY,中,2026,2026-04-20,2026-05-05,連續3日,3.51,6.61,✅,,1.07,-10.00,-13.21,-21.61,-21.38
3339,泰谷,小,2026,2026-04-20,2026-05-05,連續3日,10.00,-4.04,,,-4.33,-0.29,-19.19,-20.78,-10.16
3467,台灣精材,小,2026,2026-04-20,2026-05-05,連續3日,-0.17,5.56,,,0.67,9.44,1.18,-0.51,11.20
3714,富采,大,2026,2026-04-20,2026-05-05,連續3日,2.50,0.13,✅,,-0.64,-5.91,-14.51,-5.39,-3.97
5228,鈺鎧,小,2026,2026-04-20,2026-05-05,連續3日,9.93,8.09,,,-1.21,-8.22,-14.82,-8.49,-9.50
6224,聚鼎,小,2026,2026-04-20,2026-05-05,連續3日,3.21,0.00,✅,⭐,-2.13,-1.80,-1.15,9.33,33.92
6278,台表科,中,2026,2026-04-20,2026-05-05,連續3日,9.79,3.18,,,0.96,0.64,-7.64,2.87,16.36
6419,京晨科,小,2026,2026-04-20,2026-05-05,連續3日,-5.88,1.17,,,1.17,17.19,3.91,14.84,10.45
6829,千附精密,中,2026,2026-04-20,2026-05-05,連續3日,9.75,8.38,,,9.90,32.74,12.18,21.83,25.74
8043,蜜望實,小,2026,2026-04-20,2026-05-05,連續3日,2.66,-1.66,✅,⭐,-5.49,-6.31,-13.35,-10.56,3.70
3289,宜特,中,2026,2026-04-17,2026-05-04,連續3日,-0.82,-2.20,,,-1.10,15.66,4.67,4.67,7.42
3443,創意,大,2026,2026-04-17,2026-05-04,連續3日,8.96,-0.15,✅,⭐,-2.69,11.66,16.89,25.26,43.58
3581,博磊,小,2026,2026-04-17,2026-05-04,連續3日,9.60,9.22,,,9.68,32.26,44.70,37.33,65.19
4989,榮科,中,2026,2026-04-17,2026-05-04,連續3日,6.82,-2.38,✅,⭐,-2.38,1.43,4.29,2.86,0.13
