急拉幅度,進場回落,停損距離,量能倍率,信號窗口,樣本數,勝率,均報酬,PF,停損率
>=7%,3.0%,1.0%,1.0,90,11108,0.5772416276557436,0.008240046256384677,2.0129243024544814,0.03583003240907454
>=7%,3.0%,1.0%,1.0,120,12146,0.5626543718096493,0.007369330205202595,1.901797988723349,0.03688457105219826
>=7%,3.0%,1.0%,1.5,15,4595,0.6383025027203482,0.013979333493733847,2.713525670767382,0.029379760609358
>=7%,3.0%,1.0%,1.5,20,5404,0.6306439674315322,0.012994485771645251,2.5836996030362966,0.03275351591413768
>=7%,3.0%,1.0%,1.5,30,6545,0.6207792207792208,0.011797975470375727,2.43120478587425,0.03483575248281131
>=7%,3.0%,1.0%,1.5,45,7792,0.606006160164271,0.010578131162398988,2.2918737536830216,0.034394250513347026
>=7%,3.0%,1.0%,1.5,60,8716,0.593850390087196,0.009486725195575968,2.1548485493725122,0.03510784763653052
>=7%,3.0%,1.0%,1.5,90,9908,0.5755954784012919,0.008309860487922802,2.003726399717454,0.03572870407751312
>=7%,3.0%,1.0%,1.5,120,10719,0.5631122306185279,0.007553259640812715,1.9133014872754996,0.03610411418975651
>=7%,3.0%,1.0%,2.0,15,4230,0.6368794326241135,0.013858327913879687,2.681839315278753,0.029314420803782507
>=7%,3.0%,1.0%,2.0,20,4946,0.6269712899312576,0.01277585853131715,2.5406070482998335,0.03214718964820057
>=7%,3.0%,1.0%,2.0,30,5927,0.6170069174962038,0.011509767519827881,2.3772590371896247,0.033912603340644505
>=7%,3.0%,1.0%,2.0,45,6966,0.6045076083835774,0.010388430031409629,2.247854765907755,0.03474016652311226
>=7%,3.0%,1.0%,2.0,60,7678,0.5946861161760876,0.00951042084475842,2.1458008943689397,0.034253711904141705
>=7%,3.0%,1.0%,2.0,90,8591,0.5763007798859271,0.00832968554266203,1.9970947616136479,0.034571062740076826
>=7%,3.0%,1.0%,2.0,120,9229,0.5638747426590096,0.007640445830581668,1.9145126441119984,0.03499837468848196
>=10%,1.0%,0.3%,1.0,15,218,0.3577981651376147,0.00697550690060718,1.8983728765675396,0.0
>=10%,1.0%,0.3%,1.0,20,257,0.35797665369649806,0.006428327824358749,1.8316081362891266,0.0
>=10%,1.0%,0.3%,1.0,30,308,0.3961038961038961,0.008202896428266104,2.1272421990150394,0.0
>=10%,1.0%,0.3%,1.0,45,369,0.4065040650406504,0.007503896358137363,2.060462191112068,0.0
>=10%,1.0%,0.3%,1.0,60,407,0.4103194103194103,0.007918925314336507,2.1394160518047833,0.0
>=10%,1.0%,0.3%,1.0,90,471,0.40764331210191085,0.0073862160757277836,2.078651990751715,0.0
>=10%,1.0%,0.3%,1.0,120,517,0.3984526112185687,0.006773220060196114,1.9805850263655198,0.0
>=10%,1.0%,0.3%,1.5,15,207,0.3671497584541063,0.007258901700195786,1.939551218096445,0.0
>=10%,1.0%,0.3%,1.5,20,244,0.3729508196721312,0.007112349786649665,1.9417243130146276,0.0
>=10%,1.0%,0.3%,1.5,30,288,0.3958333333333333,0.008113365647776169,2.105943368483767,0.0
>=10%,1.0%,0.3%,1.5,45,342,0.40058479532163743,0.007670012227091857,2.06442735391626,0.0
>=10%,1.0%,0.3%,1.5,60,367,0.39509536784741145,0.007547177771042879,2.0549920368963424,0.0
>=10%,1.0%,0.3%,1.5,90,426,0.3967136150234742,0.007094491832392669,2.008207854136244,0.0
>=10%,1.0%,0.3%,1.5,120,461,0.3839479392624729,0.006491383652747652,1.9134158764402325,0.0
>=10%,1.0%,0.3%,2.0,15,189,0.3492063492063492,0.006434886216455133,1.8096833137859014,0.0
>=10%,1.0%,0.3%,2.0,20,225,0.36,0.006528336711299242,1.8415742758721851,0.0
>=10%,1.0%,0.3%,2.0,30,261,0.3831417624521073,0.007705288563811895,2.0287170632633416,0.0
>=10%,1.0%,0.3%,2.0,45,299,0.391304347826087,0.007229682411553573,1.9782604611459103,0.0
>=10%,1.0%,0.3%,2.0,60,330,0.3878787878787879,0.007618006925884952,2.047431942291774,0.0
>=10%,1.0%,0.3%,2.0,90,376,0.3882978723404255,0.007023228309386038,1.9877209963365439,0.0
>=10%,1.0%,0.3%,2.0,120,408,0.38480392156862747,0.0067387317138683026,1.9454245527687326,0.0
>=10%,1.0%,0.5%,1.0,15,218,0.3577981651376147,0.00697550690060718,1.8983728765675396,0.0
>=10%,1.0%,0.5%,1.0,20,257,0.35797665369649806,0.006428327824358749,1.8316081362891266,0.0
>=10%,1.0%,0.5%,1.0,30,308,0.3961038961038961,0.008202896428266104,2.1272421990150394,0.0
>=10%,1.0%,0.5%,1.0,45,369,0.4065040650406504,0.007503896358137363,2.060462191112068,0.0
>=10%,1.0%,0.5%,1.0,60,407,0.4103194103194103,0.007918925314336507,2.1394160518047833,0.0
>=10%,1.0%,0.5%,1.0,90,471,0.40764331210191085,0.0073862160757277836,2.078651990751715,0.0
>=10%,1.0%,0.5%,1.0,120,517,0.3984526112185687,0.006773220060196114,1.9805850263655198,0.0
>=10%,1.0%,0.5%,1.5,15,207,0.3671497584541063,0.007258901700195786,1.939551218096445,0.0
>=10%,1.0%,0.5%,1.5,20,244,0.3729508196721312,0.007112349786649665,1.9417243130146276,0.0
>=10%,1.0%,0.5%,1.5,30,288,0.3958333333333333,0.008113365647776169,2.105943368483767,0.0
>=10%,1.0%,0.5%,1.5,45,342,0.40058479532163743,0.007670012227091857,2.06442735391626,0.0
>=10%,1.0%,0.5%,1.5,60,367,0.39509536784741145,0.007547177771042879,2.0549920368963424,0.0
>=10%,1.0%,0.5%,1.5,90,426,0.3967136150234742,0.007094491832392669,2.008207854136244,0.0
>=10%,1.0%,0.5%,1.5,120,461,0.3839479392624729,0.006491383652747652,1.9134158764402325,0.0
>=10%,1.0%,0.5%,2.0,15,189,0.3492063492063492,0.006434886216455133,1.8096833137859014,0.0
>=10%,1.0%,0.5%,2.0,20,225,0.36,0.006528336711299242,1.8415742758721851,0.0
>=10%,1.0%,0.5%,2.0,30,261,0.3831417624521073,0.007705288563811895,2.0287170632633416,0.0
>=10%,1.0%,0.5%,2.0,45,299,0.391304347826087,0.007229682411553573,1.9782604611459103,0.0
>=10%,1.0%,0.5%,2.0,60,330,0.3878787878787879,0.007618006925884952,2.047431942291774,0.0
>=10%,1.0%,0.5%,2.0,90,376,0.3882978723404255,0.007023228309386038,1.9877209963365439,0.0
>=10%,1.0%,0.5%,2.0,120,408,0.38480392156862747,0.0067387317138683026,1.9454245527687326,0.0
>=10%,1.0%,1.0%,1.0,15,218,0.3577981651376147,0.00697550690060718,1.8983728765675396,0.0
>=10%,1.0%,1.0%,1.0,20,257,0.35797665369649806,0.006428327824358749,1.8316081362891266,0.0
>=10%,1.0%,1.0%,1.0,30,308,0.3961038961038961,0.008202896428266104,2.1272421990150394,0.0
>=10%,1.0%,1.0%,1.0,45,369,0.4065040650406504,0.007503896358137363,2.060462191112068,0.0
>=10%,1.0%,1.0%,1.0,60,407,0.4103194103194103,0.007918925314336507,2.1394160518047833,0.0
>=10%,1.0%,1.0%,1.0,90,471,0.40764331210191085,0.0073862160757277836,2.078651990751715,0.0
>=10%,1.0%,1.0%,1.0,120,517,0.3984526112185687,0.006773220060196114,1.9805850263655198,0.0
>=10%,1.0%,1.0%,1.5,15,207,0.3671497584541063,0.007258901700195786,1.939551218096445,0.0
>=10%,1.0%,1.0%,1.5,20,244,0.3729508196721312,0.007112349786649665,1.9417243130146276,0.0
>=10%,1.0%,1.0%,1.5,30,288,0.3958333333333333,0.008113365647776169,2.105943368483767,0.0
>=10%,1.0%,1.0%,1.5,45,342,0.40058479532163743,0.007670012227091857,2.06442735391626,0.0
>=10%,1.0%,1.0%,1.5,60,367,0.39509536784741145,0.007547177771042879,2.0549920368963424,0.0
>=10%,1.0%,1.0%,1.5,90,426,0.3967136150234742,0.007094491832392669,2.008207854136244,0.0
>=10%,1.0%,1.0%,1.5,120,461,0.3839479392624729,0.006491383652747652,1.9134158764402325,0.0
>=10%,1.0%,1.0%,2.0,15,189,0.3492063492063492,0.006434886216455133,1.8096833137859014,0.0
>=10%,1.0%,1.0%,2.0,20,225,0.36,0.006528336711299242,1.8415742758721851,0.0
>=10%,1.0%,1.0%,2.0,30,261,0.3831417624521073,0.007705288563811895,2.0287170632633416,0.0
>=10%,1.0%,1.0%,2.0,45,299,0.391304347826087,0.007229682411553573,1.9782604611459103,0.0
>=10%,1.0%,1.0%,2.0,60,330,0.3878787878787879,0.007618006925884952,2.047431942291774,0.0
>=10%,1.0%,1.0%,2.0,90,376,0.3882978723404255,0.007023228309386038,1.9877209963365439,0.0
>=10%,1.0%,1.0%,2.0,120,408,0.38480392156862747,0.0067387317138683026,1.9454245527687326,0.0
>=10%,1.5%,0.3%,1.0,15,185,0.3891891891891892,0.005751641805903104,1.5793088677894962,0.0
>=10%,1.5%,0.3%,1.0,20,215,0.3953488372093023,0.005430769209507579,1.556938412563512,0.0
>=10%,1.5%,0.3%,1.0,30,261,0.4329501915708812,0.007221479803549497,1.793892285204252,0.0
>=10%,1.5%,0.3%,1.0,45,313,0.4440894568690096,0.006282312062643767,1.7083761362532988,0.0
>=10%,1.5%,0.3%,1.0,60,347,0.4438040345821326,0.006650607727385874,1.7612879304277433,0.0
