signal_date,exit_date,stock_id,stock_name,entry_price,signal_day_ret_pct,signal_vol_ratio,signal_amount_wan,exit_open,exit_open_ret_pct,exit_close,exit_close_ret_pct,exit_vol_ratio,exit_vol_wan,ret_bps,ret_pct,net_ret_pct
2025-02-27,2025-03-03,6416,瑞祺電通,130.5,7.41,5.58,50495.0,125.0,-4.21,125.5,-3.83,3.26,0.3,-421.5,-4.21,-4.57
2025-03-03,2025-03-04,2062,橋椿,32.75,7.38,4.6,15419.0,32.85,0.31,31.9,-2.6,5.27,0.7,30.5,0.31,-0.05
2025-03-03,2025-03-04,1710,東聯,16.25,4.5,3.24,17610.0,16.55,1.85,16.55,1.85,3.66,1.5,184.6,1.85,1.49
2025-03-04,2025-03-05,1569,濱川,84.0,6.87,3.32,467753.0,84.0,0.0,80.7,-3.93,1.99,3.7,0.0,0.0,-0.36
2025-03-04,2025-03-05,2328,廣宇,47.8,5.4,5.74,353212.0,47.95,0.31,47.35,-0.94,2.97,4.5,31.4,0.31,-0.04
2025-03-05,2025-03-06,8155,博智,129.5,9.75,3.24,24207.0,131.0,1.16,136.5,5.41,6.69,0.6,115.8,1.16,0.8
2025-03-05,2025-03-06,2515,中工,12.2,4.72,3.54,33006.0,12.3,0.82,12.1,-0.82,1.19,0.9,82.0,0.82,0.46
2025-03-06,2025-03-07,3211,順達,188.0,7.12,3.86,542786.0,188.0,0.0,190.5,1.33,2.83,2.4,0.0,0.0,-0.36
2025-03-06,2025-03-07,3138,耀登,121.0,7.08,5.94,21459.0,120.0,-0.83,117.5,-2.89,2.14,0.1,-82.6,-0.83,-1.18
2025-03-07,2025-03-10,2421,建準,100.0,5.15,8.44,133149.0,100.5,0.5,105.5,5.5,7.07,1.7,50.0,0.5,0.14
2025-03-07,2025-03-10,9907,統一實,17.8,2.59,3.91,17750.0,17.95,0.84,18.0,1.12,2.64,0.8,84.3,0.84,0.49
2025-03-10,2025-03-11,3218,大學光,240.0,6.9,4.18,21200.0,236.0,-1.67,236.5,-1.46,1.35,0.0,-166.7,-1.67,-2.02
