date,gap_pct,high_open_pct,day_return,walked_lower,f_vol,f_foreign,f_rise,f_fut_short,score_3,score_4,tx_oi,ratio_910,n_foreign_down
2026-04-07,0.003042,0.018141,0.017088,0,0,0,0,1,0,1,-34855.000000,1.056087,0
2026-04-08,0.004504,0.041399,0.041399,0,1,0,0,1,1,2,-31350.000000,2.326503,0
2026-04-10,0.002573,0.013360,0.013360,0,1,0,0,1,1,2,-33399.000000,1.320481,0
2026-04-14,0.003576,0.021283,0.020010,0,1,0,0,1,1,2,-35996.000000,1.628425,0
2026-04-15,0.002011,0.019111,0.009707,0,1,0,0,1,1,2,-36664.000000,1.215715,0
2026-04-16,0.001018,0.010229,0.010133,0,0,0,0,1,0,1,-36783.000000,1.155927,0
2026-04-20,0.001247,0.013413,0.002946,0,1,0,0,1,1,2,-41151.000000,1.250459,0
2026-04-21,0.002501,0.019718,0.014948,0,1,0,0,1,1,2,-42618.000000,1.377017,1
2026-04-23,0.002461,0.025025,-0.006782,1,1,0,0,1,1,2,-42555.000000,1.759790,0
2026-04-24,0.003938,0.029773,0.028253,0,0,0,0,1,0,1,-44027.000000,0.804338,1
2026-04-30,0.006818,0.006994,-0.016295,1,1,0,0,1,1,2,-47074.000000,1.467689,1
2026-05-04,0.007752,0.038929,0.037645,0,1,0,0,1,1,2,-44044.000000,1.357787,0
2026-05-06,0.005243,0.014465,0.003802,0,1,0,0,1,1,2,-48687.000000,1.829601,0
2026-05-07,0.002944,0.021718,0.016331,0,0,0,0,1,0,1,-50967.000000,1.149140,0
2026-05-11,0.002645,0.007378,0.001823,0,1,0,0,1,1,2,-54530.000000,1.313857,0
2026-05-12,0.002168,0.008901,0.000422,0,1,0,0,1,1,2,-54225.000000,1.508978,0
2026-05-14,0.002942,0.017095,0.006158,0,1,0,0,1,1,2,-52760.000000,1.313448,1
2026-05-15,0.001884,0.013823,-0.015732,1,1,0,0,1,1,2,-51068.000000,1.419738,1
2026-05-21,0.006056,0.033374,0.027445,0,1,0,0,1,1,2,-42744.000000,1.482349,0
2026-05-22,0.001927,0.021948,0.019785,0,1,0,0,1,1,2,-44454.000000,1.740579,0
2026-05-25,0.009461,0.022919,0.022887,0,1,0,0,1,1,2,-46483.000000,1.624114,0
2026-05-26,0.001478,0.008894,-0.004199,1,1,0,0,1,1,2,-51458.000000,1.573960,0
2026-05-27,0.007281,0.022261,0.009455,0,1,0,0,1,1,2,-54391.000000,1.331753,0
2026-05-29,0.004103,0.025527,0.020939,0,0,0,0,1,0,1,-58196.000000,1.123282,0
2026-06-01,0.003127,0.023584,0.010365,0,0,0,0,1,0,1,-60650.000000,1.093081,0
2026-06-02,0.001125,0.011611,0.003710,0,1,0,0,1,1,2,-64673.000000,1.332304,1
2026-06-03,0.002264,0.019529,0.017492,0,0,0,0,1,0,1,-67018.000000,1.187330,0
2026-06-09,0.004249,0.025959,0.023275,0,1,0,0,1,1,2,-65501.000000,1.447730,0
2026-06-12,0.010155,0.027789,0.013339,0,1,0,0,1,1,2,-63168.000000,1.325963,0
2026-06-15,0.006313,0.023303,0.021354,0,1,0,0,1,1,2,-65039.000000,1.507249,0
2026-06-16,0.002271,0.006794,0.006794,0,1,0,0,1,1,2,-66734.000000,1.583940,1
2026-06-18,0.002068,0.012909,0.010723,0,1,0,0,1,1,2,-67394.000000,1.451999,1
2026-06-22,0.004614,0.025528,0.022750,0,1,1,0,1,2,3,-68337.000000,1.391851,2
2026-06-23,0.001122,0.008867,-0.014530,1,1,0,0,1,1,2,-70290.000000,1.576184,1
